gauge_id,gauge_name,space_remaining,opt_param_plausible,sigma_MD,sigma_obs,camels_uncert,cut_off,theta_1,theta_2,theta_3,theta_4,PCA_emulator,PCA_var_accounted,x1_opt,x2_opt,x3_opt,x4_opt,opt_NSE,opt_log_NSE,opt_normalised_NSE,opt_L1_NSE,opt_corr,opt_bias,opt_RMSD,opt_KGE,x1_most_nonimp,x2_most_nonimp,x3_most_nonimp,x4_most_nonimp,main_effect_x1,main_effect_x2,main_effect_x3,main_effect_x4,total_effect_x1,total_effect_x2,total_effect_x3,total_effect_x4,D_CI_em1,D_CI_em2,D_CI_em3,D_CI_em4,D_DI_em1,D_DI_em2,D_DI_em3,D_DI_em4,obs_missing,start_date,end_date,river,area
33012,Kym at Meagre Farm,3.93117,TRUE,0.28226,0.1686,FALSE,2,0.3,0.2,0.3,0.3,TRUE,96.083,196.3699,-0.60137,16.28102,1.50526,0.78293,0.75774,0.82165,0.52491,0.892,0.28226,0.43832,0.65936,18.82,0.71771,48.96653,1.89576,0.14846,0.58143,0.00809,0.00017261,0.18021,0.82101,0.20505,0.046881,0.948,0.914,0.868,0.914,505.76,880.49,1008.1,1028,0,1990-01-01,1999-12-31,River Kym,138.15
33013,Sapiston at Rectory Bridge,91.22069,TRUE,0.02287,0.1686,FALSE,2,0.3,0.2,0.3,0.3,TRUE,97.925,347.2344,-2.17676,30.26524,2.33483,0.87716,NaN,0.8906,0.63355,0.93673,-0.02287,0.11933,0.90657,332.5073,-4.51722,48.96653,3.20449,0.17127,0.55198,0.010288,0.00018289,0.20646,0.79267,0.20574,0.048778,0.946,0.816,0.854,0.848,529.55,1327.3,984.93,1786.8,0,1990-01-01,1999-12-31,River Sapiston,196.16
33014,Lark at Temple,93.64933,TRUE,0.07668,0.1686,FALSE,2,0.3,0.2,0.3,0.3,TRUE,97.764,742.483,-1.56447,46.06254,1.4467,0.79596,0.38122,0.83053,0.48491,0.90468,-0.07668,0.11977,0.875,573.8053,-5.008,166.7526,0.996,0.16718,0.55757,0.010007,0.00018184,0.20151,0.79786,0.20554,0.048323,0.942,0.864,0.85,0.932,507.3,1394.9,1414.7,914.19,1,1990-01-01,1999-12-31,River Lark,274.04
33018,Tove at Cappenham Bridge,13.25064,TRUE,0.00342,0.04411,TRUE,2,0.3,0.2,0.3,0.3,TRUE,96.148,273.1442,-0.34659,22.19795,1.2027,0.85355,0.63154,0.87226,0.67652,0.9239,-0.00342,0.3776,0.88869,18.82,-3.37208,176.5682,1.24139,0.098217,0.6451,0.0062813,0.00015359,0.1219,0.88053,0.2058,0.039541,0.778,0.896,0.802,0.934,2263.7,827.65,2004.8,875.76,0,1990-01-01,1999-12-31,River Tove,132.54
33019,Thet at Melford Bridge,95.35253,TRUE,0.0375,0.1686,FALSE,2,0.3,0.2,0.3,0.3,TRUE,97.432,459.4362,-0.63665,86.48751,3.26201,0.92531,0.71394,0.9305,0.72133,0.96481,-0.0375,0.11448,0.94238,163.5988,-4.84441,284.5388,3.61347,0.14753,0.58468,0.0088183,0.00017104,0.17775,0.82223,0.20494,0.044773,0.958,0.85,0.838,0.93,463.48,1152.7,1377.7,988.35,0,1990-01-01,1999-12-31,River Thet,311.37
33020,Alconbury Brook at Brampton,0.35944,TRUE,0.2943,0.1686,FALSE,2,0.3,0.2,0.3,0.3,TRUE,95.564,169.0171,-0.32549,15.02928,1.57357,0.62035,NaN,0.76689,0.45501,0.79635,0.2943,0.67986,0.6084,18.82,0.88131,68.59755,1.56857,0.13719,0.59448,0.0078831,0.00016589,0.16788,0.83334,0.20557,0.045327,0.79,0.918,0.932,0.796,1835.7,724.9,823.05,1909.2,10,1995-01-01,2004-12-31,River Alconbury Brook,212.72
33021,Rhee at Burnt Mill,95.3152,TRUE,0.03162,0.1686,FALSE,2,0.3,0.2,0.3,0.3,TRUE,97.793,379.9349,-2.73168,62.80282,1.99324,0.85633,0.55141,0.87439,0.65158,0.92611,-0.03162,0.10793,0.90557,380.7669,-3.69927,117.6751,2.38653,0.17859,0.54208,0.0098995,0.0001871,0.21556,0.78454,0.20485,0.051586,0.934,0.826,0.8,0.854,509.79,1351.1,1374.7,1679.8,0.1,1990-01-01,1999-12-31,River Rhee,308.05
33022,Ivel at Blunham,94.77107,TRUE,0.10225,0.03711,TRUE,2,0.3,0.2,0.3,0.3,TRUE,97.585,482.992,-0.55516,35.87354,1.42718,0.85032,-0.04159,0.86981,0.55967,0.9377,-0.10225,0.15014,0.86255,356.6371,-2.55412,19.52,0.996,0.15496,0.57272,0.0084697,0.00017456,0.18788,0.81312,0.20505,0.048142,0.95,0.932,0.78,0.856,483.17,713.86,1468.5,1432.2,0,1990-01-01,1999-12-31,River Ivel,539.63
33023,Lea Brook at Beck Bridge,88.96971,TRUE,0.10739,0.1686,FALSE,2,0.3,0.2,0.3,0.3,TRUE,97.752,406.5046,-8.30867,39.02923,1.38231,0.6905,NaN,0.78964,0.44172,0.83305,0.10739,0.10359,0.75173,959.882,-4.68082,58.78204,1.48678,0.16166,0.5603,0.010146,0.00018325,0.19663,0.80275,0.20753,0.049102,0.83,0.92,0.848,0.894,2310.3,801.57,1379.1,2051.6,10,1990-01-01,1999-12-31,River Lea Brook,131.89
33024,Cam at Dernford,95.60432,TRUE,0.09861,0.1686,FALSE,2,0.3,0.2,0.3,0.3,TRUE,97.75,482.992,-1.86166,37.33757,1.70045,0.77028,-0.00826,0.81319,0.47145,0.88851,-0.09861,0.14422,0.85089,404.8967,-4.84441,166.7526,1.81396,0.16969,0.55525,0.0093866,0.00018083,0.20439,0.79574,0.20446,0.049321,0.938,0.802,0.944,0.93,472.84,1592.6,651.23,792.61,0,1990-01-01,1999-12-31,River Cam,199.59
